polaridad,subjetividad,sentimiento,word_count
-0.4939,0.5357142857142857,neu,6
0.4767,0.475,neu,18
0.5994,0.7,pos,8
0.5719,0.4,pos,21
-0.4939,0.9,neu,9
-0.34,0.4666666666666667,neu,23
-0.9136,0.5322424242424242,neg,29
-0.5994,0.575,neg,18
-0.3612,0.42000000000000004,neu,19
0.0,0.0,neu,12
0.0,0.2,neu,5
-0.9201,0.7666666666666667,neg,18
-0.765,0.5214285714285715,neg,15
0.0,0.9,neu,4
0.4019,0.5583333333333332,neu,6
0.4215,0.25,neu,11
-0.6249,0.2,neg,23
-0.8555,0.9,neg,8
0.7599,0.1,pos,19
-0.8176,0.35833333333333334,neg,25
-0.9081,1.0,neg,8
-0.128,0.55,neu,26
0.34,0.7583333333333333,neu,20
-0.7783,0.6333333333333333,neg,12
-0.886,0.25,neg,14
-0.5106,0.0,neg,5
-0.25,0.3222222222222222,neu,19
-0.0,0.125,neu,7
0.4767,0.6452380952380953,neu,18
-0.6908,0.42749999999999994,neg,20
-0.4404,0.15000000000000002,neu,11
-0.4902,0.75,neu,7
0.1027,0.5346428571428572,neu,22
0.3182,0.75,neu,13
-0.2023,0.7,neu,11
-0.7506,0.7999999999999999,neg,15
-0.6808,0.75,neg,15
0.2023,1.0,neu,3
-0.4939,0.0,neu,2
-0.2732,0.0,neu,14
0.1531,0.5652777777777779,neu,21
0.0,0.9,neu,6
0.1779,0.5,neu,8
0.5859,0.64,pos,15
-0.0516,0.0,neu,3
-0.5106,0.0,neg,7
0.0,0.9,neu,6
-0.5106,0.0,neg,2
-0.6808,0.4666666666666667,neg,10
-0.6597,0.5375,neg,24
0.128,0.2708333333333333,neu,17
-0.7239,0.2,neg,8
-0.3119,0.58,neu,21
0.0772,0.3357142857142857,neu,9
-0.6381,0.534375,neg,34
0.0,0.0,neu,3
0.4023,0.0,neu,7
0.0,0.0,neu,2
-0.0459,0.7178571428571429,neu,17
0.296,0.6625,neu,8
-0.4767,0.7,neu,13
0.6249,0.825,pos,5
-0.9246,0.1,neg,17
-0.1027,0.4,neu,25
0.8689,0.33392857142857146,pos,14
0.6908,0.55,pos,21
0.4767,0.21666666666666667,neu,18
-0.1531,0.7233333333333334,neu,22
-0.4588,0.5319444444444444,neu,21
-0.5423,0.0,neg,7
0.0258,0.9,neu,4
0.2263,0.6,neu,7
-0.5106,0.0,neg,8
-0.2263,0.6333333333333333,neu,11
0.296,0.7,neu,18
-0.9231,0.6,neg,23
-0.3612,0.611904761904762,neu,14
-0.5719,0.5,neg,20
-0.93,0.48888888888888893,neg,19
0.6369,0.8109090909090909,pos,24
0.4228,0.5333333333333333,neu,18
0.0258,0.6492063492063492,neu,19
0.2924,0.5833333333333334,neu,9
-0.7717,0.6625000000000001,neg,32
-0.5106,0.0,neg,2
-0.34,0.3333333333333333,neu,17
-0.9514,0.7333333333333334,neg,25
0.7482,0.6,pos,18
0.2732,0.9,neu,7
0.1779,0.725,neu,16
-0.7351,0.0,neg,24
0.5615,0.0,pos,9
-0.7351,1.0,neg,8
0.1531,1.0,neu,14
-0.4717,0.65,neu,5
-0.743,0.0,neg,5
0.128,0.7140151515151515,neu,23
0.3182,0.0,neu,12
-0.5106,0.0,neg,2
0.4588,0.39,neu,23
-0.4404,0.0,neu,5
0.4019,0.0,neu,4
0.0,0.9,neu,6
-0.8258,0.6833333333333332,neg,22
-0.4404,0.43333333333333335,neu,5
-0.128,0.0,neu,10
-0.0772,0.33571428571428574,neu,32
-0.5106,0.4,neg,8
-0.7964,0.3833333333333333,neg,10
-0.5709,0.9,neg,12
-0.6597,0.43666666666666665,neg,15
0.8271,0.524090909090909,pos,17
-0.7059,0.29000000000000004,neg,21
-0.8402,0.6266666666666667,neg,13
0.5719,0.43333333333333335,pos,21
0.0,0.0,neu,5
0.2023,0.65,neu,15
-0.7579,0.3666666666666667,neg,19
-0.8225,0.0,neg,16
-0.4939,0.26785714285714285,neu,11
-0.4404,0.7178571428571429,neu,6
-0.8739,0.325,neg,17
0.0,0.5015151515151515,neu,9
0.7845,0.7472222222222222,pos,27
-0.0772,0.4022222222222222,neu,18
-0.4215,0.6333333333333333,neu,23
