polaridad,subjetividad,sentimiento,word_count
0.7184,0.33749999999999997,pos,21
-0.1119,0.2,neu,8
0.47,0.06666666666666667,neu,27
-0.3612,0.0,neu,14
-0.9042,0.7678571428571428,neg,24
-0.6597,0.0,neg,5
-0.1027,0.6333333333333333,neu,8
0.4023,0.0,neu,4
-0.5106,0.3333333333333333,neg,5
0.7184,0.45202020202020204,pos,21
-0.7351,0.6,neg,15
-0.7351,0.485,neg,24
-0.9118,0.7333333333333334,neg,15
0.5994,0.6,pos,25
-0.6486,0.06666666666666667,neg,16
0.5994,0.3,pos,16
-0.25,0.9,neu,13
0.0772,0.43333333333333335,neu,22
0.0,0.4,neu,27
-0.6124,0.6499999999999999,neg,8
0.3818,0.0,neu,9
-0.5106,0.0,neg,3
0.0,0.9,neu,6
-0.2023,1.0,neu,13
-0.1531,0.65,neu,7
0.128,0.0,neu,3
-0.7184,0.0,neg,8
0.4019,0.8500000000000001,neu,23
-0.5106,0.0,neg,6
-0.4404,0.0,neu,2
-0.1828,0.0,neu,7
-0.3818,0.0,neu,8
0.25,0.7,neu,14
-0.1027,0.5416666666666666,neu,5
-0.4404,0.275,neu,22
-0.7096,1.0,neg,3
-0.9186,0.4,neg,17
-0.5106,0.0,neg,12
-0.5106,0.0,neg,5
-0.34,0.0,neu,6
-0.5423,0.41666666666666663,neg,6
-0.0516,0.8333333333333334,neu,3
-0.2263,1.0,neu,10
-0.4939,0.0,neu,4
0.4168,0.5555555555555556,neu,11
0.1531,0.9,neu,6
-0.5859,0.0,neg,4
-0.5574,0.6166666666666667,neg,19
0.2263,0.6,neu,6
-0.1027,0.5083333333333333,neu,22
-0.7184,0.3125,neg,13
-0.4404,0.0,neu,2
-0.3976,0.5166666666666667,neu,17
-0.7269,0.75,neg,8
-0.6249,0.35000000000000003,neg,13
0.9368,0.63125,pos,17
-0.4588,0.4916666666666667,neu,26
-0.2732,0.5,neu,2
-0.128,0.0,neu,11
-0.2263,0.7348484848484849,neu,10
0.6369,0.0,pos,19
0.4939,0.7458333333333333,neu,28
-0.128,0.4119047619047619,neu,27
0.0,0.0,neu,6
-0.5423,0.5,neg,6
-0.4352,0.5,neu,14
0.3412,0.0,neu,5
0.7506,0.55,pos,11
-0.1779,0.25,neu,14
-0.4215,0.7908163265306122,neu,17
-0.743,0.33333333333333337,neg,25
0.0,0.0,neu,4
0.6369,0.4553571428571429,pos,29
-0.5106,0.0,neg,2
-0.7655,0.49333333333333335,neg,27
-0.836,0.607986111111111,neg,24
0.5106,0.5666666666666667,pos,28
-0.5106,0.0,neg,10
0.0,0.3333333333333333,neu,12
-0.3612,0.821875,neu,26
-0.9153,0.55,neg,12
-0.34,0.7833333333333333,neu,23
-0.6115,0.4833333333333334,neg,19
-0.5994,0.45,neg,7
-0.5106,0.0,neg,6
-0.3182,0.4,neu,13
-0.4404,0.0,neu,4
-0.7783,0.3208333333333333,neg,18
-0.7964,0.7857142857142857,neg,13
-0.1916,0.0,neu,8
0.7964,0.3666666666666667,pos,19
-0.8126,0.4,neg,10
0.0,0.9,neu,8
-0.4404,0.2,neu,7
0.0,0.0,neu,12
-0.34,0.5357142857142857,neu,6
-0.4588,0.0,neu,5
0.0,0.0,neu,17
-0.2263,0.4444444444444444,neu,16
0.0772,0.375,neu,7
-0.3848,0.32727272727272727,neu,10
-0.5106,0.0,neg,4
0.8288,0.8333333333333334,pos,13
-0.5106,0.0,neg,2
-0.2878,0.625,neu,19
0.0,0.9,neu,2
-0.6705,0.2111111111111111,neg,24
0.1796,0.4,neu,5
-0.25,0.75,neu,25
0.0258,0.75,neu,8
-0.2263,0.1,neu,9
-0.2732,0.0,neu,7
-0.4939,0.5,neu,6
0.6808,0.4166666666666667,pos,23
-0.7717,0.0,neg,6
-0.4939,0.0,neu,5
0.2268,0.0,neu,11
-0.4404,0.1,neu,6
-0.4939,0.1,neu,23
-0.5106,0.0,neg,6
-0.7783,0.4583333333333333,neg,28
-0.0516,0.6555555555555556,neu,21
0.7184,0.5,pos,8
-0.5994,0.44999999999999996,neg,21
-0.8481,0.8666666666666667,neg,21
0.0,0.9,neu,2
-0.6705,0.2111111111111111,neg,24
-0.5106,0.0,neg,8
-0.644,0.8,neg,17
-0.5106,0.0,neg,2
0.3182,0.3839285714285714,neu,17
-0.5859,0.32727272727272727,neg,15
-0.7121,0.0,neg,10
-0.1265,0.4,neu,8
0.5106,1.0,pos,10
0.0,0.9,neu,2
0.1685,0.6564285714285714,neu,28
-0.5106,0.0,neg,2
-0.9081,0.3410714285714286,neg,25
0.0,0.9,neu,4
-0.8126,1.0,neg,9
0.0,0.0,neu,2
-0.5719,0.5,neg,22
-0.6705,0.2111111111111111,neg,24
-0.4939,0.0,neu,17
-0.5106,0.0,neg,3
0.1779,0.5,neu,13
0.4404,0.9,neu,4
0.05,0.5458333333333333,neu,28
0.9368,0.63125,pos,17
-0.8176,0.0,neg,18
-0.7717,0.325,neg,20
0.6908,0.2,pos,14
0.0516,0.0,neu,4
0.1725,0.2538690476190476,neu,28
0.8957,0.9666666666666667,pos,11
-0.4939,0.0,neu,5
-0.6705,0.2111111111111111,neg,24
-0.8555,0.5,neg,17
-0.9538,0.7999999999999999,neg,18
0.652,0.6499458874458874,pos,19
-0.5106,0.05555555555555556,neg,12
-0.4404,0.0,neu,5
-0.4404,0.0,neu,9
0.5583,0.0,pos,5
0.8225,0.6,pos,23
-0.4939,0.0,neu,3
0.34,1.0,neu,17
-0.5106,0.2,neg,8
-0.8176,0.0,neg,13
-0.7506,0.5671428571428571,neg,25
0.5994,0.6666666666666666,pos,11
-0.6597,0.9,neg,8
-0.6908,0.0,neg,13
-0.1531,0.0,neu,14
0.4404,0.5678571428571428,neu,5
-0.6597,0.4171428571428571,neg,24
0.9287,0.6638888888888889,pos,27
0.0,0.9,neu,4
0.4588,0.9,neu,6
0.0,0.7,neu,10
0.4847,0.3385714285714285,neu,28
-0.3818,0.725,neu,23
-0.1779,1.0,neu,5
-0.5994,0.37083333333333335,neg,11
-0.3818,0.29814814814814816,neu,26
-0.4588,0.0,neu,8
0.0,0.0,neu,3
0.296,0.8,neu,9
0.891,0.2625,pos,30
0.9062,0.5615079365079366,pos,26
0.34,0.7444444444444445,neu,10
0.875,1.0,pos,11
0.0,0.9,neu,3
0.1847,0.06666666666666667,neu,17
-0.8074,0.5,neg,26
-0.4215,0.775,neu,17
-0.1027,0.41666666666666663,neu,6
-0.1779,0.65,neu,12
-0.5106,0.0,neg,6
0.0,0.0,neu,3
-0.128,0.75,neu,6
-0.6486,0.9,neg,8
0.6908,0.6599999999999999,pos,21
0.4939,0.6625,neu,23
-0.6597,0.0,neg,7
-0.34,0.0,neu,6
-0.4767,0.6,neu,6
0.5141,0.79375,pos,9
-0.4939,0.45454545454545453,neu,3
-0.5106,0.0,neg,3
0.8281,0.7999999999999999,pos,11
-0.4939,0.4,neu,4
-0.6249,0.65,neg,17
0.7186,0.6000000000000001,pos,7
-0.128,0.32564102564102565,neu,26
0.0,0.4444444444444444,neu,27
-0.4939,0.1,neu,7
0.024,0.45,neu,21
-0.1531,0.0,neu,6
0.6275,0.7619047619047619,pos,23
-0.7964,0.39375,neg,15
0.5859,0.8500000000000001,pos,5
-0.3612,0.6916666666666665,neu,6
-0.5106,0.0,neg,3
0.4019,0.9,neu,6
0.0,0.65,neu,10
0.7717,0.5261363636363636,pos,25
-0.6705,0.45059523809523805,neg,25
-0.7269,0.0,neg,10
0.0,0.37777777777777777,neu,23
-0.4404,0.31875,neu,25
0.2263,0.16666666666666666,neu,6
0.6697,0.75,pos,6
0.1027,0.10833333333333334,neu,12
0.8179,0.5,pos,12
-0.4939,0.0,neu,7
-0.9451,0.5,neg,25
0.9153,0.625,pos,11
-0.5106,0.375,neg,6
-0.743,0.5333333333333333,neg,16
-0.8225,0.55,neg,23
-0.6808,0.3678571428571429,neg,10
-0.9136,0.45,neg,25
0.4215,0.9,neu,16
0.0,0.0,neu,3
-0.5106,0.0,neg,2
0.7184,0.39090909090909093,pos,30
0.3182,0.575,neu,4
